season,metric,metric_label,messi_value,peer_mean,peer_std,z_score,peer_median,robust_z,percentile,rank,cohort_size,min_minutes,cohort
2018/19,shots90,Shots / 90,5.658284,2.222476,0.900763,3.814332,2.18842,4.238773,100.0,1,74,1350,forwards
2018/19,xa90,Expected assists / 90,0.510416,0.166413,0.078963,4.356503,0.157896,5.026643,100.0,1,74,1350,forwards
2018/19,xgbuildup90,xGBuildup / 90,0.356099,0.181169,0.108076,1.618587,0.16423,2.869046,93.243243,6,74,1350,forwards
2018/19,xgchain90,xGChain / 90,1.280099,0.53033,0.194538,3.854092,0.5019,5.324766,100.0,1,74,1350,forwards
2019/20,key_passes90,Key passes / 90,2.753825,1.138146,0.492458,3.280849,1.050073,4.309175,100.0,1,75,1350,forwards
2019/20,npg90,Non-penalty goals / 90,0.625869,0.242926,0.153888,2.488461,0.223973,3.226903,98.666667,2,75,1350,forwards
2019/20,npg_minus_npxg90,Non-penalty goals above xG / 90,0.08971,-0.008781,0.076734,1.28353,-0.006008,1.207867,92.0,7,75,1350,forwards
2019/20,npxg90,Non-penalty xG / 90,0.53616,0.251707,0.13138,2.165107,0.207,2.980878,97.333333,3,75,1350,forwards
2019/20,shots90,Shots / 90,4.975661,2.053224,0.814594,3.587599,1.91704,3.892071,100.0,1,75,1350,forwards
2019/20,xa90,Expected assists / 90,0.519264,0.14434,0.073174,5.123705,0.141414,6.759013,100.0,1,75,1350,forwards
2019/20,xgbuildup90,xGBuildup / 90,0.42364,0.158689,0.087136,3.040651,0.13925,4.378118,98.666667,2,75,1350,forwards
2019/20,xgchain90,xGChain / 90,1.092876,0.469879,0.17268,3.607803,0.446637,4.340163,100.0,1,75,1350,forwards
2020/21,key_passes90,Key passes / 90,2.296984,1.110087,0.53564,2.215849,1.062825,2.308811,97.402597,3,77,1350,forwards
2020/21,npg90,Non-penalty goals / 90,0.805436,0.243962,0.17404,3.226117,0.211964,4.163877,100.0,1,77,1350,forwards
2020/21,npg_minus_npxg90,Non-penalty goals above xG / 90,0.120503,0.004417,0.087257,1.330393,0.00626,2.036383,92.207792,7,77,1350,forwards
2020/21,npxg90,Non-penalty xG / 90,0.684932,0.239545,0.140359,3.173206,0.211753,3.985189,100.0,1,77,1350,forwards
2020/21,shots90,Shots / 90,5.817037,1.964619,0.840411,4.58397,1.861082,5.925302,100.0,1,77,1350,forwards
2020/21,xa90,Expected assists / 90,0.340754,0.136068,0.07582,2.699647,0.126644,2.371019,100.0,1,77,1350,forwards
2020/21,xgbuildup90,xGBuildup / 90,0.606683,0.177947,0.118207,3.62701,0.14658,4.944652,100.0,1,77,1350,forwards
2020/21,xgchain90,xGChain / 90,1.130798,0.463972,0.184138,3.621338,0.423863,3.930257,100.0,1,77,1350,forwards
2014/15,key_passes90,Key passes / 90,2.534084,1.04113,0.603044,2.475697,0.930231,3.031898,97.95082,6,244,600,forwards_or_midfielders
2014/15,npg90,Non-penalty goals / 90,1.013634,0.153378,0.180454,4.767176,0.095833,7.296245,99.590164,2,244,600,forwards_or_midfielders
2014/15,npg_minus_npxg90,Non-penalty goals above xG / 90,0.175196,-0.009904,0.076698,2.413367,-0.008771,3.616048,97.95082,6,244,600,forwards_or_midfielders
2014/15,npxg90,Non-penalty xG / 90,0.838438,0.163283,0.160316,4.211413,0.112557,6.588798,99.590164,2,244,600,forwards_or_midfielders
2014/15,shots90,Shots / 90,4.988145,1.548292,0.938133,3.666701,1.414156,3.835405,99.590164,2,244,600,forwards_or_midfielders
2014/15,xa90,Expected assists / 90,0.469791,0.111919,0.097082,3.686285,0.084517,5.182517,99.590164,2,244,600,forwards_or_midfielders
2014/15,xgbuildup90,xGBuildup / 90,0.527002,0.170286,0.142061,2.511,0.136049,4.948622,95.491803,12,244,600,forwards_or_midfielders
2014/15,xgchain90,xGChain / 90,1.460529,0.366239,0.246646,4.436678,0.307205,6.786418,100.0,1,244,600,forwards_or_midfielders
2015/16,key_passes90,Key passes / 90,2.542186,1.117967,0.642633,2.216223,1.024668,2.434876,97.510373,7,241,600,forwards_or_midfielders
2015/16,npg90,Non-penalty goals / 90,0.759354,0.168861,0.198227,2.97888,0.098468,4.52695,97.925311,6,241,600,forwards_or_midfielders
2015/16,npg_minus_npxg90,Non-penalty goals above xG / 90,0.036338,-0.012149,0.087955,0.551277,-0.011483,0.711322,77.178423,56,241,600,forwards_or_midfielders
2015/16,npxg90,Non-penalty xG / 90,0.723016,0.18101,0.175917,3.08104,0.126566,4.829882,98.340249,5,241,600,forwards_or_midfielders
2015/16,shots90,Shots / 90,5.216434,1.592627,0.979353,3.700205,1.428571,4.016113,99.585062,2,241,600,forwards_or_midfielders
2015/16,xa90,Expected assists / 90,0.523997,0.13087,0.09821,4.002907,0.110088,4.345682,99.585062,2,241,600,forwards_or_midfielders
2015/16,xgbuildup90,xGBuildup / 90,0.501714,0.208425,0.141157,2.077753,0.172688,3.709098,94.190871,15,241,600,forwards_or_midfielders
2015/16,xgchain90,xGChain / 90,1.386544,0.434203,0.239873,3.970193,0.386405,4.849248,99.585062,2,241,600,forwards_or_midfielders
2016/17,key_passes90,Key passes / 90,2.510593,1.104383,0.617311,2.277959,0.991918,2.727159,96.356275,10,247,600,forwards_or_midfielders
2016/17,npg90,Non-penalty goals / 90,0.985169,0.177297,0.178807,4.518116,0.130719,5.69821,99.595142,2,247,600,forwards_or_midfielders
2016/17,npg_minus_npxg90,Non-penalty goals above xG / 90,0.296116,0.021179,0.088753,3.097788,0.006291,4.40267,98.785425,4,247,600,forwards_or_midfielders
2016/17,npxg90,Non-penalty xG / 90,0.689054,0.156119,0.144062,3.699357,0.11092,5.17337,99.595142,2,247,600,forwards_or_midfielders
2016/17,shots90,Shots / 90,5.688559,1.573609,0.988669,4.162113,1.407129,4.112209,99.595142,2,247,600,forwards_or_midfielders
2016/17,xa90,Expected assists / 90,0.443489,0.108189,0.082357,4.07131,0.087534,4.925962,99.595142,2,247,600,forwards_or_midfielders
2016/17,xgbuildup90,xGBuildup / 90,0.576277,0.191358,0.138396,2.781294,0.150095,4.523174,97.165992,8,247,600,forwards_or_midfielders
2016/17,xgchain90,xGChain / 90,1.351432,0.381186,0.228171,4.252267,0.328726,5.933345,100.0,1,247,600,forwards_or_midfielders
2017/18,key_passes90,Key passes / 90,2.614357,1.111715,0.620785,2.420552,1.011289,2.510549,97.863248,6,234,600,forwards_or_midfielders
2017/18,npg90,Non-penalty goals / 90,0.961603,0.161319,0.189854,4.215269,0.102028,5.682485,100.0,1,234,600,forwards_or_midfielders
2017/18,npg_minus_npxg90,Non-penalty goals above xG / 90,0.181107,-0.007548,0.089945,2.097446,-0.012891,3.001847,97.863248,6,234,600,forwards_or_midfielders
2017/18,npxg90,Non-penalty xG / 90,0.780496,0.168867,0.16566,3.692082,0.108454,5.926414,99.57265,2,234,600,forwards_or_midfielders
2017/18,shots90,Shots / 90,5.889816,1.553666,0.951671,4.556355,1.388822,4.619582,99.57265,2,234,600,forwards_or_midfielders
2017/18,xa90,Expected assists / 90,0.453768,0.126267,0.089337,3.665916,0.111032,3.833038,100.0,1,234,600,forwards_or_midfielders
2017/18,xgbuildup90,xGBuildup / 90,0.650116,0.216418,0.139925,3.099489,0.187829,4.310866,97.863248,6,234,600,forwards_or_midfielders
2017/18,xgchain90,xGChain / 90,1.447832,0.429459,0.231524,4.398555,0.366609,5.762651,100.0,1,234,600,forwards_or_midfielders
2018/19,key_passes90,Key passes / 90,3.095414,1.077785,0.59179,3.409365,0.982839,3.403823,100.0,1,243,600,forwards_or_midfielders
2018/19,npg90,Non-penalty goals / 90,1.065089,0.13868,0.149661,6.190066,0.1,6.509425,100.0,1,243,600,forwards_or_midfielders
2018/19,npg_minus_npxg90,Non-penalty goals above xG / 90,0.32349,-0.024939,0.080901,4.306865,-0.015583,6.238144,100.0,1,243,600,forwards_or_midfielders
